snapshot_date,model_family,body,model_year,asking_price_usd,mileage_miles,currency,location,seller_type,listing_title,listing_url,source,vin_or_stock,exterior_color,interior_color,notes
2026-09-15,STO,coupe,2024,469000,5200,USD,"Garland, TX",dealer,2024 Lamborghini Huracan,https://www.cargurus.com/details/437097666,CarGurus,ZHWUA6ZX0RLA26301,Blue,Black,Stock # A26301; trim: STO Coupe RWD; deal rating: FAIR_PRICE; exterior color: Blue
2026-09-15,STO,coupe,2024,540140,1394,USD,"Houston, TX",dealer,2024 Lamborghini Huracan,https://www.cargurus.com/details/454513411,CarGurus,ZHWUA6ZX1RLA25657,Blu Cepheus,Black/Red,Stock # RLA25657; trim: STO Coupe RWD; deal rating: POOR_PRICE; exterior color: Blu Cepheus
2026-09-15,STO,coupe,2024,565340,418,USD,"Bloomington, MN",dealer,2024 Lamborghini Huracan,https://www.cargurus.com/details/458010558,CarGurus,ZHWUA6ZX2RLA25649,Bianco Cosmes,Nero Ade,Stock # 31HM1016P; trim: STO Coupe RWD; exterior color: Bianco Cosmes
2026-09-15,STO,coupe,2024,1997988,226,USD,"Pompano Beach, FL",dealer,2024 Lamborghini Huracan,https://www.cargurus.com/details/446149275,CarGurus,ZHWUA6ZX8RLA27583,,,Stock # A27583C; trim: STO Coupe RWD; exterior color: Other
2026-09-15,Performante,coupe,2018,350985,18349,USD,"Winter Park , FL",dealer,2018 Lamborghini Huracan,https://www.cargurus.com/details/454753952,CarGurus,ZHWUD4ZF6JLA08750,Green (Verde Mantis Pearl Effect),Nero Ade,Stock # M27001A; trim: LP 640-4 Performante Coupe AWD; deal rating: GOOD_PRICE; exterior color: Green (Verde Mantis Pearl Effect)
2026-09-15,Performante,coupe,2018,358790,18974,USD,"Ewing, NJ",dealer,2018 Lamborghini Huracan,https://www.cargurus.com/details/452217906,CarGurus,ZHWUD4ZF7JLA09017,Nero Helene Metallic,Nero Cosmus,Stock # 26512; trim: LP 640-4 Performante Coupe AWD; deal rating: GOOD_PRICE; exterior color: Nero Helene Metallic
2026-09-15,Performante,coupe,2018,361905,26123,USD,"Boerne, TX",dealer,2018 Lamborghini Huracan,https://www.cargurus.com/details/446650677,CarGurus,ZHWUD4ZF5JLA08402,Red,Nero Ade,Stock # PA08402B; trim: LP 640-4 Performante Coupe AWD; deal rating: FAIR_PRICE; exterior color: Red
2026-09-15,Performante,coupe,2018,370699,13568,USD,"Scottsdale, AZ",dealer,2018 Lamborghini Huracan,https://www.cargurus.com/details/448458098,CarGurus,ZHWCD4ZF2JLA08630,Black,,Stock # S752; trim: LP 640-4 Performante Coupe AWD; deal rating: GOOD_PRICE; exterior color: Black
2026-09-15,Performante,coupe,2018,395493,16395,USD,"Springville, UT",dealer,2018 Lamborghini Huracan,https://www.cargurus.com/details/451840729,CarGurus,ZHWCD4ZF8JLA11077,Silver,Black,Stock # C3462; trim: LP 640-4 Performante Coupe AWD; deal rating: FAIR_PRICE; exterior color: Silver
2026-09-15,Performante,coupe,2018,429900,4967,USD,"Dallas, TX",dealer,2018 Lamborghini Huracan,https://www.cargurus.com/details/456761864,CarGurus,ZHWUD4ZF0JLA09098,White,Black,Stock # MJLA09098; trim: LP 640-4 Performante Coupe AWD; deal rating: FAIR_PRICE; exterior color: White
2026-09-15,Performante,coupe,2018,433679,5304,USD,"Davie, FL",dealer,2018 Lamborghini Huracan,https://www.cargurus.com/details/441747293,CarGurus,ZHWUD4ZFXJLA08928,Gold,Nero Ade,Stock # WJLA08928C; trim: LP 640-4 Performante Coupe AWD; deal rating: FAIR_PRICE; exterior color: Gold
2026-09-15,Performante,coupe,2018,434991,14337,USD,"San Rafael, CA",dealer,2018 Lamborghini Huracan,https://www.cargurus.com/details/454502873,CarGurus,ZHWUD4ZF4JLA09489,Grigio Estoque,Rosso Alala/Nero Ade,Stock # PJLA09489; trim: LP 640-4 Performante Coupe AWD; deal rating: FAIR_PRICE; exterior color: Grigio Estoque
2026-09-15,Performante,coupe,2018,444939,7225,USD,"Boerne, TX",dealer,2018 Lamborghini Huracan,https://www.cargurus.com/details/457875756,CarGurus,ZHWUD4ZF3JLA08334,Arancio Borealis Pearl Effect,Nero Ade,Stock # PA08334; trim: LP 640-4 Performante Coupe AWD; deal rating: FAIR_PRICE; exterior color: Arancio Borealis Pearl Effect
2026-09-15,Performante,coupe,2018,460988,11444,USD,"New Albany, IN",dealer,2018 Lamborghini Huracan,https://www.cargurus.com/details/456176595,CarGurus,ZHWUD4ZF7JLA10443,Black,Black,Stock # HC-0443; trim: LP 640-4 Performante Coupe AWD; deal rating: OVERPRICED; exterior color: Black
2026-09-15,Performante,coupe,2018,479995,4665,USD,"San Rafael, CA",dealer,2018 Lamborghini Huracan,https://www.cargurus.com/details/455394887,CarGurus,ZHWUD4ZF2JLA08812,Bianco Monocerus,Nero Ade,Stock # SJLA08812; trim: LP 640-4 Performante Coupe AWD; deal rating: POOR_PRICE; exterior color: Bianco Monocerus
