snapshot_or_event_date,status,make,model_family,body,model_year,asking_price_usd,sold_price_usd,mileage_miles,location,listing_title,listing_url,source,vin_or_stock,notes
2026-09-07,last_ask,McLaren,600LT,spider,2020,289999,,,"New York, New York, USA",2020 McLaren 600LT Spider,https://www.classic.com/veh/2020-mclaren-600lt-convertible-sbm13saa1lw007823-n2Q7zB4/,Classic.com,SBM13SAA1LW007823,8k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-07,sold,Lamborghini,Gallardo,spider,2007,,265000,,"Blaine, Washington, USA",2007 Lamborghini Gallardo Spyder,https://www.classic.com/veh/2007-lamborghini-gallardo-spyder-zhwgc22n47la04274-pG17L2n/,Classic.com,ZHWGC22N47LA04274,Gallardo Spyder; 16k mi displayed; mileage blank (rounded Nk mi); auction sold
2026-09-06,last_ask,Ferrari,296,spider,2025,499990,,,"Douglas County, Colorado, USA",2025 Ferrari 296 GTS,https://www.classic.com/veh/2025-ferrari-296-gts-zff01sma8s0317475-pPL9w3p/,Classic.com,ZFF01SMA8S0317475,296 GTS; 1k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-06,last_ask,Ferrari,488,coupe,2016,269900,,,"Charlotte, North Carolina, USA",2016 Ferrari 488 GTB,https://www.classic.com/veh/2016-ferrari-488-gtb-zff79ala3g0215494-pG87Ox4/,Classic.com,ZFF79ALA3G0215494,23k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-06,last_ask,McLaren,600LT,coupe,2020,219990,,,"Orlando, Florida, USA",2020 McLaren 600LT,https://www.classic.com/veh/2020-mclaren-600lt-sbm13saa8lw007642-45eXbz4/,Classic.com,SBM13SAA8LW007642,20k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-06,last_ask,Ferrari,F8,spider,2022,641689,,,"West Palm Beach, Florida, USA",2022 Ferrari F8 Spider,https://www.classic.com/veh/2022-ferrari-f8-spider-zff93lma4n0276967-n2MJDB4/,Classic.com,ZFF93LMA4N0276967,F8 Spider; 1k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-06,last_ask,Lamborghini,Huracan_STO,coupe,2021,549990,,,"New Albany, Indiana, USA",2021 Lamborghini Huracan STO,https://www.classic.com/veh/2021-lamborghini-huracan-sto-zhwua6zx6mla17854-4a6Z5Xn/,Classic.com,ZHWUA6ZX6MLA17854,Huracán STO; 5k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-06,last_ask,Lamborghini,Revuelto,coupe,2025,729999,,,"Costa Mesa, California, USA",2025 Lamborghini Revuelto,https://www.classic.com/veh/2025-lamborghini-revuelto-zhwuc1zm6sla02755-4VwqbVn/,Classic.com,ZHWUC1ZM6SLA02755,Revuelto; 1k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-05,last_ask,Ferrari,296,coupe,2024,374999,,166,"Englewood, Colorado, USA",2024 Ferrari 296 GTB Assetto Fiorano,https://www.classic.com/veh/2024-ferrari-296-gtb-assetto-fiorano-zff99sla1r031-nQZboZW/,Classic.com,,296 GTB; exact miles displayed: 166 mi; Classic.com Last Asking (removed/sold without published sold price)
2026-09-05,last_ask,Ferrari,296,spider,2025,410118,,761,"Mill Valley, California, USA",2025 Ferrari 296 GTS,https://www.classic.com/veh/2025-ferrari-296-gts-zff01sma3s0316217-pJdJ8Ln/,Classic.com,ZFF01SMA3S0316217,296 GTS; exact miles displayed: 761 mi; Classic.com Last Asking (removed/sold without published sold price)
2026-09-05,last_ask,Ferrari,458,coupe,2014,499995,,,"City of Glen Cove, New York, USA",2014 Ferrari 458 Italia,https://www.classic.com/veh/2014-ferrari-458-italia-zff67nfa7e0203026-4yo7agW/,Classic.com,ZFF67NFA7E0203026,458 Italia/coupe; 8k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-05,sold,Ferrari,458,spider,2013,,500000,,"Lodi, New Jersey, USA",2013 Ferrari 458 Spider,https://www.classic.com/veh/2013-ferrari-458-spider-zff68nha4d0194522-W9XjDXn/,Classic.com,ZFF68NHA4D0194522,458 Spider; 7k mi displayed; mileage blank (rounded Nk mi); auction sold
2026-09-05,last_ask,Ferrari,488,coupe,2017,349999,,,"New York, New York, USA",2017 Ferrari 488 GTB,https://www.classic.com/veh/2017-ferrari-488-gtb-zff79ala4h0228448-4DqPkon/,Classic.com,ZFF79ALA4H0228448,4k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-05,last_ask,McLaren,600LT,spider,2020,259999,,,"New York, New York, USA",2020 McLaren 600LT Spider,https://www.classic.com/veh/2020-mclaren-600lt-spider-sbm13saa9lw007729-pdYqrO4/,Classic.com,SBM13SAA9LW007729,19k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
